genotype_id,tree_depth,genome_length,genome_sequence,is_viable,gestation_time,fitness,phenotype_signature,not,nand,and,ornot,andnot,nor,xor,equals
32236,9,100,wzcagcccccclccccccccccccccccccknccccccccccccccccccccccccccccccccccccccccccacccccctceccusmcczvfcaxgab,1,384,0.252604,00000000,0,0,0,0,0,0,0,0
32236,9,100,wzcagcccccclccccccccccccccccccknccccccccccccccccccccccccccccccccccccccccccacccccctceccusmcczvfcaxgab,1,384,0.252604,00000000,0,0,0,0,0,0,0,0
32236,9,100,wzcagcccccclccccccccccccccccccknccccccccccccccccccccccccccccccccccccccccccacccccctceccusmcczvfcaxgab,1,384,0.252604,00000000,0,0,0,0,0,0,0,0
32236,9,100,wzcagcccccclccccccccccccccccccknccccccccccccccccccccccccccccccccccccccccccacccccctceccusmcczvfcaxgab,1,384,0.252604,00000000,0,0,0,0,0,0,0,0
49547,15,100,wzcagccceqmccccccccccccccczcccicucjccccccccccccccccccccccejccccczccccccccccccccnxmcccccancczvfcaxgab,1,368,0.228261,00000000,0,0,0,0,0,0,0,0
48898,13,100,wzcagccpccccccccccfcrbcccccccccccccccicccccccccccccccccccbccccrccjcccicoccccccgccccfvccjccczvfcaxgab,1,376,0.255319,00000000,0,0,0,0,0,0,0,0
48898,13,100,wzcagccpccccccccccfcrbcccccccccccccccicccccccccccccccccccbccccrccjcccicoccccccgccccfvccjccczvfcaxgab,1,376,0.255319,00000000,0,0,0,0,0,0,0,0
49544,12,100,wzcagccccccccccccccccxccjccceccccocccccccccccccccrcccccccccccccctlccccccccscchcccccswmccccczvfcaxgab,0,0,0,00000000,0,0,0,0,0,0,0,0
48895,10,100,wzcagcrcccccccccccccdccccccccccoccccccxcjccccccccccccccccccccctcccccocccccycccccyucjccccccazvfcaxgab,1,380,0.255263,00000000,0,0,0,0,0,0,0,0
48686,12,100,wzcagcccccbcvccccmcfcccclccccxcccbczccfcccccrclccccccccccccccrccccccccclcccccwccccccccccccczvfcaxgab,1,369,0.235772,00000000,0,0,0,0,0,0,0,0
43187,12,100,wzcagcccccccccccccncccccczckcccccvccccccccccccccccccccsccccccccvccccybccccuccaccccucycccccczvfcaxgab,1,375,0.258667,00000000,0,0,0,0,0,0,0,0
43187,12,100,wzcagcccccccccccccncccccczckcccccvccccccccccccccccccccsccccccccvccccybccccuccaccccucycccccczvfcaxgab,1,375,0.258667,00000000,0,0,0,0,0,0,0,0
43470,12,100,wzcagcdcgcccccccccckcjccccccccvcccccccccccxcccccccccccccchnjccccccjmccccccccecpcccycccccccczvfcaxgab,1,376,0.255319,00000000,0,0,0,0,0,0,0,0
43470,12,100,wzcagcdcgcccccccccckcjccccccccvcccccccccccxcccccccccccccchnjccccccjmccccccccecpcccycccccccczvfcaxgab,1,376,0.255319,00000000,0,0,0,0,0,0,0,0
43473,10,100,wzcagcccccccccccsccccccucccccccccccccccccccacccccciccccccnccccccgccccccccccxlfccccccccvcccczvfcxxgab,1,475,0.189474,00000000,0,0,0,0,0,0,0,0
46139,11,100,wzcagcccccicccccccdccccyccccccccccccccccccicccccccanaccccaccccccclvcccqcccclccccccdcccccccczvfcaxgab,1,378,0.253968,00000000,0,0,0,0,0,0,0,0
46139,11,100,wzcagcccccicccccccdccccyccccccccccccccccccicccccccanaccccaccccccclvcccqcccclccccccdcccccccczvfcaxgab,1,378,0.253968,00000000,0,0,0,0,0,0,0,0
46138,8,100,wzcagccqcycccccccccocccccccccccccccccccccccgcccdcpcccccncccccccctcccccbccccccccccccccccccyczvfcaxgab,1,381,0.254593,00000000,0,0,0,0,0,0,0,0
46138,8,100,wzcagccqcycccccccccocccccccccccccccccccccccgcccdcpcccccncccccccctcccccbccccccccccccccccccyczvfcaxgab,1,381,0.254593,00000000,0,0,0,0,0,0,0,0
46132,13,100,wzcagccccccccccrccccccscyccccccccccccbcccsccccclcwcccccccciccccccccccccccccducccccccccvcrlczvfcaxgab,1,378,0.256614,00000000,0,0,0,0,0,0,0,0
46132,13,100,wzcagccccccccccrccccccscyccccccccccccbcccsccccclcwcccccccciccccccccccccccccducccccccccvcrlczvfcaxgab,1,378,0.256614,00000000,0,0,0,0,0,0,0,0
46132,13,100,wzcagccccccccccrccccccscyccccccccccccbcccsccccclcwcccccccciccccccccccccccccducccccccccvcrlczvfcaxgab,1,378,0.256614,00000000,0,0,0,0,0,0,0,0
